# ad sites
0.0.0.0	gameone.com
0.0.0.0	www.77757.com
0.0.0.0	www.shalong07.com
0.0.0.0 a.adquantix.com
0.0.0.0 ad.unimhk.com
0.0.0.0 ads.genieessp.com
0.0.0.0 airhostesswoman.com
0.0.0.0 autoganza.com
0.0.0.0 cdn.directtrk.com
0.0.0.0 cdn.kyston.com
0.0.0.0 cdn.offersquared.com
0.0.0.0 easyrecipesite.com
0.0.0.0 finallywomen.com
0.0.0.0 g01.a.alicdn.com
0.0.0.0 imgg.steepto.com
0.0.0.0 js.provider-direct.com
0.0.0.0 js.publicsunrise.link
0.0.0.0 lp.ilividnewtab.com
0.0.0.0 lp.legendsofhonor.com
0.0.0.0 pl128193.puhtml.com
0.0.0.0 pl128194.puhtml.com
0.0.0.0 relay-hk.ads.httpool.com
0.0.0.0 steepto.com
0.0.0.0 tas-hk.toboads.com
0.0.0.0 ukg.io
0.0.0.0 unvisitedplaces.com
0.0.0.0 vda.icantw.com
0.0.0.0 versionall.com
0.0.0.0 webtransfer.com
0.0.0.0 www.11js11.com
0.0.0.0 www.70088hg.com
0.0.0.0 www.774447.com
0.0.0.0 www.77js77.com
0.0.0.0 www.FriendlyDuck.com
0.0.0.0 www.airbnb.ru
0.0.0.0 www.bg1115.com
0.0.0.0 www.docspump.com
0.0.0.0 www.filmon.com
0.0.0.0 www.financialnewsfocus.com
0.0.0.0 www.israbox.com
0.0.0.0 www.miliwoman.com
0.0.0.0 www.steepto.com
0.0.0.0 www.terrapops.com
0.0.0.0 www.zevera.com
